* T-Spice 13.00 Simulation	Fri Sep 06 19:27:02 2019	C:\Users\ARJUN\AppData\Local\Temp\TB_SRAM_6T_8BIT.sp
* Command line: tspice -o C:\Users\ARJUN\AppData\Local\Temp\TB_SRAM_6T_8BIT.out C:\Users\ARJUN\AppData\Local\Temp\TB_SRAM_6T_8BIT.sp 
* T-Spice Win32 13.00.20080321.01:01:33

*SEDIT: Alter blocks = 0

* Accuracy and Convergence options:
* numndset|dchold = 100
* 
* Timestep and Integration options:
*  relq|relchgtol = 0.0005
* 
* Model Evaluation options:
*            dcap = 2                    defnrb = 0 [sq]               defnrd = 0 [sq]
*          defnrs = 0 [sq]                 tnom = 25 [deg C]
* 
* General options:
*            temp = 25 [deg C]          threads = 4
* 
* Output options:
*           acout = 1                    ingold = 0
* 


*  Device and node counts:
*             MOSFETs - 64                MOSFET geometries - 4       
*                BJTs - 0                             JFETs - 0       
*             MESFETs - 0                            Diodes - 0       
*          Capacitors - 0                         Resistors - 0       
*           Inductors - 0                  Mutual inductors - 0       
*  Transmission lines - 0        Coupled transmission lines - 0       
*     Voltage sources - 10                  Current sources - 0       
*                VCVS - 0                              VCCS - 0       
*                CCVS - 0                              CCCS - 0       
*    V-control switch - 0                  I-control switch - 0       
*       Macro devices - 0        External C model instances - 0       
*         HDL devices - 0       
*         Subcircuits - 0              Subcircuit instances - 17      
*   Independent nodes - 280                  Boundary nodes - 11      
*         Total nodes - 291     


*SEDIT: Alter=0
*SEDIT: Analysis types DCOP 0 ACMODEL 0 AC 0 TRANSIENT 1 TRANSFER 0 NOISE 0 

*WEDIT: .tran   2e-006   3e-006
TRANSIENT ANALYSIS
Time<s>           v(WL)<V>   v(BL_1)<V>   v(BL_2)<V>    v(Q_1)<V>    v(Q_2)<V>   v(QB_1)<V>   v(QB_2)<V>
 1.442499e-007  4.0000e-001  4.0000e-001  0.0000e+000  3.8866e-001 -1.2041e-003  7.9834e-003  3.7146e-001
 1.454999e-007  4.0000e-001  4.0000e-001  0.0000e+000  3.8865e-001  1.0361e-002  7.9863e-003  3.9353e-001
 1.461249e-007  4.0000e-001  4.0000e-001  0.0000e+000  3.8865e-001  3.1469e-003  7.9858e-003  3.8769e-001
 1.480735e-007  4.0000e-001  4.0000e-001  0.0000e+000  3.8865e-001  6.9123e-003  7.9860e-003  3.8948e-001
 1.584626e-007  4.0000e-001  4.0000e-001  0.0000e+000  3.8865e-001  3.7987e-003  7.9858e-003  3.8777e-001
 1.600000e-007  4.0000e-001  4.0000e-001  0.0000e+000  3.8865e-001  6.3494e-003  7.9860e-003  3.8925e-001
 1.610000e-007  0.0000e+000  0.0000e+000  0.0000e+000  3.8713e-001  6.4101e-003  6.9367e-003  3.8747e-001
 1.615000e-007  0.0000e+000  0.0000e+000  0.0000e+000  3.8810e-001  8.6798e-003  8.9215e-003  3.8833e-001
 1.651966e-007  0.0000e+000  0.0000e+000  0.0000e+000  3.8824e-001  9.8741e-003  9.9083e-003  3.8828e-001
 1.999999e-007  0.0000e+000  0.0000e+000  0.0000e+000  3.8817e-001  1.0099e-002  1.0078e-002  3.8815e-001
 2.014714e-007  4.0000e-001  0.0000e+000  0.0000e+000  8.8553e-002  6.7574e-003  1.1845e-001  3.8895e-001
 2.022072e-007  4.0000e-001  0.0000e+000  0.0000e+000  2.9808e-002  5.5584e-003  2.7111e-001  3.8853e-001
 2.025751e-007  4.0000e-001  0.0000e+000  0.0000e+000  1.3402e-002  5.2941e-003  3.3745e-001  3.8849e-001
 2.034335e-007  4.0000e-001  0.0000e+000  0.0000e+000  6.7274e-003  5.3221e-003  3.8568e-001  3.8861e-001
 2.051841e-007  4.0000e-001  0.0000e+000  0.0000e+000  4.6020e-003  5.2935e-003  3.8918e-001  3.8860e-001
 2.076571e-007  4.0000e-001  0.0000e+000  0.0000e+000  5.8043e-003  5.3143e-003  3.8848e-001  3.8861e-001
 2.088935e-007  4.0000e-001  0.0000e+000  0.0000e+000  5.0313e-003  5.2994e-003  3.8848e-001  3.8860e-001
 2.149582e-007  4.0000e-001  0.0000e+000  0.0000e+000  5.5539e-003  5.3104e-003  3.8873e-001  3.8861e-001
 2.179906e-007  4.0000e-001  0.0000e+000  0.0000e+000  5.1002e-003  5.3008e-003  3.8849e-001  3.8860e-001
 2.200000e-007  4.0000e-001  0.0000e+000  0.0000e+000  5.4594e-003  5.3085e-003  3.8870e-001  3.8861e-001
 2.210000e-007  4.0000e-001  0.0000e+000  4.0000e-001  5.3241e-003  3.6233e-002  3.8862e-001  3.7790e-001
 2.215000e-007  4.0000e-001  0.0000e+000  4.0000e-001  5.3093e-003  4.7041e-002  3.8861e-001  3.5406e-001
 2.217500e-007  4.0000e-001  0.0000e+000  4.0000e-001  5.3067e-003  5.3320e-002  3.8861e-001  3.4020e-001
 2.242500e-007  4.0000e-001  0.0000e+000  4.0000e-001  5.3040e-003  1.9539e-001  3.8860e-001  9.1506e-002
 2.255000e-007  4.0000e-001  0.0000e+000  4.0000e-001  5.3059e-003  3.4112e-001  3.8861e-001  2.2964e-002
 2.261250e-007  4.0000e-001  0.0000e+000  4.0000e-001  5.3049e-003  3.7828e-001  3.8860e-001  1.3943e-002
 2.280734e-007  4.0000e-001  0.0000e+000  4.0000e-001  5.3054e-003  3.9099e-001  3.8860e-001  6.0545e-003
 2.384616e-007  4.0000e-001  0.0000e+000  4.0000e-001  5.3050e-003  3.8676e-001  3.8860e-001  9.7606e-003
 2.400000e-007  4.0000e-001  0.0000e+000  4.0000e-001  5.3053e-003  3.8872e-001  3.8860e-001  7.2875e-003
 2.410000e-007  1.0603e-014  4.0000e-001  4.0000e-001  6.1771e-003  3.8722e-001  3.8738e-001  6.7371e-003
 2.415000e-007  0.0000e+000  4.0000e-001  4.0000e-001  8.6016e-003  3.8817e-001  3.8832e-001  8.8318e-003
 2.451966e-007  0.0000e+000  4.0000e-001  4.0000e-001  9.8733e-003  3.8826e-001  3.8828e-001  9.8929e-003
 2.800000e-007  1.0588e-014  4.0000e-001  4.0000e-001  1.0112e-002  3.8817e-001  3.8814e-001  1.0081e-002
 2.810000e-007  4.0000e-001  4.0000e-001  4.0000e-001  4.6649e-002  3.8967e-001  3.4711e-001  1.0724e-002
 2.815000e-007  4.0000e-001  4.0000e-001  4.0000e-001  6.1305e-002  3.8877e-001  3.2148e-001  8.9015e-003
